0000, 86089711700318990971681496997181145425725236307
0001, 91446466794167890574894033971514569326903180894
0002, 125682425568342492655591976393285306222581897343
0003, 166553918379051960801521345958734492337396662190
0004, 169362752270920486097214898881741038051604891449
0005, 171938133604485804565208970274009816858000782893
0006, 209062751239464627024775221744059321793328597484
0007, 221238681233509320504085363658178732190176390489
0008, 290835280972108294741776834253203469453689701770
0009, 309700269087013273853305125031806791264446487390
0010, 342372641040320998410792954573079579614765929753
0011, 354779040669434729934085059326351786149374316440
0012, 376538302929600716920847300170336433620248373852
0013, 379312000657639672352237906878859981819598266789
0014, 511231662454257903320820068430092984191484511703
0015, 526868026847725169777543100940669302024048518186
0016, 531183017139126266342025944007274103644871417835
0017, 620829884052159301961818179387592158574681399622
0018, 640263886302162426050448501858319693124675867158
0019, 652058058157271446858553594246822317317400876901
0020, 653206710577653210220651544350296048440145414046
0021, 656024366950501440347730815790996210559617090954
0022, 657583066505599039936096962966551484324717433478
0023, 681874421370535116527885036277548978129386111174
0024, 694817407697665207244924686084483479403101901564
0025, 711504912867391098772865770236851235163139063519
0026, 712911139295006931131698510699181771960376523250
0027, 761077064093475272508364585016967220094634263001
0028, 789695183840382299339492508226047072817803891110
0029, 802524125587348701862705734983604515449659076143
0030, 868769100318346570191186156576586634578179650078
0031, 881606015212898979298638305696217943877772458029
0032, 995276136987051934455757858699998587357098765858
0033, 997267300409693487971014357514901185051568910546
0034, 1030742204524431604415281845217667982940879981420
0035, 1031998248852686363826562773427478815114804114300
0036, 1084206679111529689759626858800105472049177936348
0037, 1086220690058416706235683871580903646264873692950
0038, 1116666649591841846446674870027890022196406929704
0039, 1116918555902471991038894124529722733347612455558
0040, 1153053105735832230558010262087866416598271437065
0041, 1184675117164267802427654442936850916254283516382
0042, 1237324361728970068992225062342546529772594641863
0043, 1282327360634064296132958268317266582459665465680
0044, 1316094926251137211468187242912378784794414063535
0045, 1333786092957897821987396191188784739745356197893
0046, 1349657460835587687214142004843499479549246396501
0047, 1368793693551885485711825003484360306809717137491
0048, 1394943867853699133991476438201902994211258897306
0049, 1403727115696485357468175299072096136620094876463
